Month_Year,ATM_Withdrawals,UPI_Transactions,DebitCard_POS,IMPS
2018-01,741.564703,151.83,301.37455,99.558
2018-02,718.2769860000001,171.4,282.007092,99.245308
2018-03,774.9438299999999,178.05,318.899139,110.1538
2018-04,758.938556,190.08,333.766143,109.55083199999999
2018-05,748.041999,189.48,352.124283,116.620508
2018-06,752.711129,246.37,358.821967,120.49117100000001
2018-07,781.7581309999999,273.75,367.352976,127.37662
2018-08,805.522146,312.02,357.17213000000004,133.578099
2018-09,798.64633,405.87,362.44,135.735432
2018-10,869.635176,482.36,392.608041,154.622845
2018-11,840.233143,524.94,375.728777,149.94018799999998
2018-12,914.3073019999999,620.17,386.688194,176.932019
2019-01,880.481648,672.75,373.531187,171.508227
2019-02,817.915222,674.19,346.48171,166.37337399999998
2019-03,891.4237390000001,799.54,407.56568000000004,190.18005599999998
2019-04,808.909049,781.79,413.080303,185.044153
2019-05,815.710204,733.54,412.53089600000004,183.32523799999998
2019-06,800.484063,754.54,412.13542100000006,171.32509299999998
2019-07,816.01477,822.29,425.640612,189.276259
2019-08,814.308309,918.35,429.31926000000004,200.31
2019-09,794.021516,955.02,414.933634,204.16
2019-10,859.0427320000001,1148.36,455.000566,236.92992399999997
2019-11,627.25603168,1218.77,11.95338965,228.07519200000002
2019-12,649.06557,1308.4,12.18999334,256.467272
2020-01,653.264697,1305.02,12.83505513,259.525523
2020-02,618.476199,1325.69,11.52994346,247.79774400000002
2020-03,544.0020569999999,1246.84,8.102214291,216.823055
2020-04,294.990123,999.57,3.820550036,122.47458099999999
2020-05,407.630495,1234.5,4.081949872,166.67999400000002
2020-06,471.316018,1336.93,3.536059872,198.912186
2020-07,468.397713,1497.36,2.449016312,222.099
2020-08,485.87063500000005,1618.83,2.919805792,246.124856
2020-09,506.550372,1800.14,3.2500016,279.608
2020-10,565.638806,2071.62,3.7120156360000003,318.972
2020-11,588.393447,2210.23,3.96995208,339.113869
2020-12,567.6286339999999,2234.16,4.526418776,355.69329899999997
2021-01,572.9972270000001,2302.73,4.329368757999999,346.552
2021-02,553.044613,2292.9,3.971329652,318.973
2021-03,603.5779789999999,2731.68,4.7320582600000005,363.144
2021-04,525.269387,2641.06,4.1182153239999995,322.96799999999996
2021-05,416.707166,2539.57,3.731320152,279.861
2021-06,475.83488100000005,2807.51,5.054440336,303.84499999999997
2021-07,537.48176,3247.82,7.349303999999999,352.464
2021-08,568.47338,3555.55,13.227256896,379.711937
2021-09,554.0659370000001,3654.3,13.371068324000001,384.88357099999996
2021-10,603.274352,4218.65,6.458284928,430.671
2021-11,568.757379,4186.48,7.448119,412.029
2021-12,592.380264,4566.3,9.963051,442.986
2022-01,555.450602,4617.15,11.756588,440.17299999999994
2022-02,529.666346,4527.49,12.661441,420.93100000000004
2022-03,596.681928,5405.65,16.476821308,492.00100000000003
2022-04,583.037199,5583.05,16.931882336,471.62600000000003
2022-05,586.844795,5955.2,9.279666,484.813
2022-06,573.0784249999999,5862.75,8.721751000000001,455.701
2022-07,577.78847,6288.4,8.542615000000001,460.83000000000004
2022-08,576.661389,6579.63,8.389793000000001,466.909
2022-09,572.573169,6780.8,7.941180749999999,462.23100000000005
2022-10,612.445637,7305.42,8.389488764,482.459
2022-11,560.8377429999999,7309.45,7.771804,463.48
2022-12,589.178313,7829.49,6.157858808,485.837
2023-01,575.037058,8036.89,6.458620000000001,474.508
2023-02,547.232698,7534.76,6.3067340000000005,447.81322200000005
2023-03,592.171709,8685.3,70.569552,497.056471
2023-04,570.720304,8863.26,67.66910299999999,495.792846
2023-05,569.472313,9415.19,72.163081,501.549
2023-06,557.74471,9335.06,68.10740100000001,468.101559
2023-07,559.095634,9964.61,71.4149991818182,489.710132
2023-08,572.330683,10586.02,72.93853102941179,489.16487500000005
2023-09,537.721687,10555.69,70.739108,472.896566
2023-10,572.1322849999999,11408.79,73.56525500000001,492.88
2023-11,554.263629,11235.29,66.214005,472.384
2023-12,546.359698,12020.23,70.964774,498.793
2024-01,530.6013270000001,12203.02,69.06683799999999,508.79200000000003
2024-02,517.234015,12102.67,70.24142900000001,534.635
2024-03,556.396031,13440.0,69.902074,580.636
2024-04,524.039502,13303.99,69.51256,550.365
2024-05,516.641198,14035.84,68.993998,557.699
2024-06,507.656969,13885.14,65.089008,516.751
2024-07,506.93808,14435.55,71.39655308823531,490.284
2024-08,515.7197699999999,14963.05,71.024202,453.337
2024-09,494.981063,15041.75,72.16515799999999,429.936
2024-10,554.504143,16584.97,71.88772985294119,466.823
2024-11,476.07135200000005,15482.02,66.326845,407.918
2024-12,495.076951,16730.01,68.49296000000001,441.16400000000004
2025-01,491.00709399999994,16996.0,70.1175126764706,444.22299999999996
2025-02,449.79685099999995,16106.19,64.18366999999999,404.829
2025-03,498.37781800000005,18301.51,64.823812,461.639
2025-04,460.26511200000004,17893.42,64.9246964705882,449.253
2025-05,460.460937,18677.46,65.05404999999999,463.66
2025-06,438.20819600000004,18395.01,59.50523,448.105
2025-07,447.241398,19467.95,66.0656593142857,482.18999999999994
2025-08,462.59428099999997,20008.31,66.951358,477.262
2025-09,439.547522,19633.43,68.871559,394.379
2025-10,466.198081,20700.92,64.91641262857141,403.588
2025-11,440.47791399999994,20466.98,68.2351200571429,368.931
2025-12,446.90942699999994,21634.67,69.422864,379.933
2026-01,443.70595999999995,21703.44,82.7759778857143,374.033
